BDR,BLR,BSR,NBD,NBL,NBS,RR_even,RR_odd
5,4,6,4,5,7,34,32
7,4,3,3,3,3,31,27
6,5,4,3,1,1,20,18
6,3,3,3,1,1,20,14
5,4,3,4,2,5,18,19
4,4,5,5,5,3,18,20
5,4,7,4,4,2,32,34
5,5,6,3,2,4,20,20
10,4,3,1,1,1,16,13
4,4,6,5,2,3,26,21
6,6,6,3,2,4,35,35
6,4,6,2,1,2,14,14
8,8,6,3,4,3,27,25
8,6,7,7,1,5,32,28
3,4,6,3,1,1,21,19
5,4,3,3,3,5,25,17
4,3,6,1,1,1,11,15
7,6,6,3,3,5,34,35
5,3,3,1,1,2,8,5
5,3,5,5,1,2,35,35
9,3,6,1,1,1,16,11
8,8,6,3,4,4,34,33
10,4,4,3,3,2,34,32
3,3,4,1,1,1,13,7
6,4,4,4,4,5,16,17
6,7,5,5,6,6,37,38
3,4,5,2,4,2,22,18
4,3,5,1,1,1,18,18
6,7,3,3,2,2,16,16
8,7,7,3,4,3,19,20
8,4,6,2,3,2,28,23
5,3,3,1,1,1,15,14
6,4,6,2,2,2,33,30
5,5,4,5,4,5,27,24
6,4,6,3,1,1,24,22
7,4,6,5,4,5,39,40
5,3,6,2,3,3,16,17
6,5,6,3,3,2,34,35
7,5,6,2,4,2,24,27
 ,9,6, ,3,2,17,17
4,4,6,3,1,1,22,24
5,5,3,8,2,3,29,26
6,6,5,2,4,3,18,18
6,4,5,2,4,2,16,11
5,4,5,4,4,3,18,17
4,3,6,3,3,2,31,24
5,6,6,7,4,2,34,35
6,6,6,3,4,2,30,32
 , ,5,1,6,3,20,23
5,5,5,4,4,2,22,19
5,5,6,4,4,5,36,32
3,5,6,3,4,2,33,26
3,3,4,4,5,4,31,33
3,3,4,2,3,2,20,23
3,5,3,7,4,4,25,20
4,4,6,1,4,3,31,20
5,5,6,3,5,4,33,37
4,3,5,3,1,1,17,16
5,5,4,3,3,2,32,33
6,4,3,2,1,3,23,18
7,4,6,7, ,2,21,23
7,8,4,2,3,3,28,27
7,4,3,4,3,2,27,24
8,6,6,5,4,2,23,20
4,4,5,1,2,1,27,20
4,4,5,3,3,2,19,20
6,6,6,7, ,3,33,37
4,4,6,1,1,1,13,8
4,3,6,3,1,1,13,17
6,4,5, ,1,2,32,25
3,3,3,3,4,2,29,30
10,6,5,1,5,2,21,25
6,4,6,7,2,3,34,31
 ,3,5, ,7,2,18,20
3,3,4,2,3,3,31,33
4,4,5,3,2,2,25,21
5,3,3,3,3,1,21,24
5,4,6,4,5,3,30,28
5,4,4,4,4,2,21,19
6,6,4,2,3,2,26,30
3,3,4,2,3,4,16,25
10,9,5,3,3,2,9,10
4,3,6,1,1,1,25,20
5,4,4,3,3,3,13,12
7,5,6,9,6,8,30,30
6,5,4,5,4,5,25,25
6,3,5,2,1,3,17,17
7,7,3,5,4,3,23,16
5,4,6,5,2,3,31,27
3,4,3,1,1,1,15,16
5,4,5,3,3,3,23,20
5,3,4,1,1,1,12,9
5,4,4,7,4,3,16,22
4,4,5,3,4,4,25,21
8,9,8,4,5,3,38,36
6,4,5,1,2,3,18,21
6,3,6,1,1,1,15,14
5,4,6,3,3,4,18,21
3,6,6,3,3,2,23,24
4,4,5,4,6,4,18,17
6,4,4,3,5,2,30,27
9,6,7,3,2,4,36,37
3,3,4,1,1,1,21,22
6,6,5,5,3,4,23,22
3,5,6,3,4,2,22,18
6,5,3,3,3,3,30,35
5, ,5,3,1,2,25,20
3,4,3,3,1,2, , 
4,3,6,1,1,1,26,19
4,4,6,3,3,2,14,19
5,7, ,3,2,3,26,27
4,6,6,3,1,2,23,23
5,4,7,5,5,2,26,23
6,6,5,2,4,3,20,21
5,4,3,4,3,3,22,17
4,4,6,2,3,4,19,14
3,3,5,2,1,1,17,17
5,5,5,1,1,1,15,14
4,5,6,3,3,2,30,25
7,6,6,5,4,3,35,30
5,5,5,4,7,5,20,20
6,5,5,3,2,2,23,23
6,5,5,1,2,1,18,19
4,4,3,3,1,2,27,21
3,3,6,3,2,5,27,18
3,3,6,3,1,2,30,28
4,6,5,3,2,1,21,17
3,3,6,3,2,2,19,16
4,4,5,4,3,2,12,12
6,5,6,4,5,4,26,29
3,4,6,2,1,2,22,21
4,3,6,2,1,1,28,30
3,3,6,3,4,4,26,22
6,4,6,4,2,3,24,23
4,5,3,3,3,2,23,20
4,3,4,1,1,1,17,15
5,5,6,3,3,3,23,27
8,5,6,1,1,1,4,3
8,6,9,1,1,1,31,27
6,6,4,3,1,4,31,34
4,5,3,1,1,4,28,27
4,3,6,8,2,4, , 
7,6,6,3,3,3,37,37
5,5,3,2,4,2,32,20
6,3,6,3,3,2,36,37
8,7,7,8,2,6,37,33
5,4,5,3,1,1,17,19
6,3,3,1,1,1,10,11
3,8,7,9,5,3,17,23
5,3,3,5,2,2,15,20
5,4,6,1,2,4,20,19
4,4,6,3,4,2,23,16
4,6,6,3,3,4,26,23
6,6,5,4,4,3,33,32
7,6,5,3,4,4,30,21
7,6,6,1,1,1,9,10
4,4,5,3,6,5,20,24
6,5,5,6,7,5,35,35
6,4,6,3,2,3,37,31
3,4,6,4,3,3,26,26
7,5,6,3,4,2,26,26
4,4,7,3,1,1,33,37
5,5,5,3,1,1,26,24
4,3,3,2,1,6,22,23
5,4,6,3,1,2,31,29
3,4,4,5,4,5,33,26
3,4,4,4,2,2,25,23
5,5,4,4,3,5,17,18
7,5,3,3,3,2,37,38
4,3,3,2,3,1,12,10
6,4,6,1,4,1,34,30
4,4,4,2,2,3,20,23
3,3,3,2,2,2,17,15
6,5,5,3,2,2,34,27
3,3,3,1,1,1,11,14
5,3,5,3,2,3,31,23
3,5,3,3,1,2,21,23
3,4,5,5,4,2,24,23
4,4,6,3,4,2,27,22
5,4,6,5,5,5,36,30
3,3,4,2,1,2,26,24
4,5,5,9,4,3,24,22
6,5,6,3,2,2,33,30
4,5,4,7,4,2,24,22
7,6,6,3,3,3,17,14
5,5,5,5,3,4,19,24
6,6,7,7,6,3,37,38
7,6,6,3,4,2,30,34
5,3,3,3,1,2,25,19
4,3,6,3,2,2,22,21
7,6,5,5,6,3,37,32
3,3,3,2,1,2,21,17
7,6,6,7,4,2,32,32
9, ,5,2,1,3,14,15
8,4,5,1,1,1,17,21
4,4,6, ,5,4,26,27
6,5,3,4,2,2,24,25
3,4,4,2,2,2,20,23
4,5,6,2,2,2,19,18
6,5,6,3,3,5,31,29
3,3,6,6,2,4,17,18
4,4,6,6,5,6,39,35
5,4,3,5,5,1,26,25
5,3,5,3,3,2,13,14
4,3,6,2,2,2,15,13
6,6,6,9,3,8,36,36
4,4,3,3,4,3,21,20
6,4,6,9,4,7,29,32
6,5,6,5,3,2,28,20
4,3,5,3,1,5,24,26
6,6,4,5,3,2,28,25
5,5,3,3,8,3,29,23
3,3,3,1,1,1,15,16
6,4,6,1,2,2,28,29
