SEX,AGE,RAMP,ANALOGIES,NUMBER_SERIES,PATTER_COMPL,CSPAN,SSPAN,MENTAL_COUNTERS,CHANGE_DETECTION,TASK_ENG1,TASK_ENG2,TASK_ENG3,STAI1,STAI2,STAI3,clock1,clock2,clock3,FD_LENGTH,FD_ORIENT,FD_BRIGHT,FM_SIZE,FM_ORIENT,FM_BRIGHT,DD_FILLED_VISUAL,DD_EMPTY_VISUAL,IT_CIRCLES,IT_LINES,IT_SQUAR,DD_EMPTY_AUDITORY,DD_FILLED_AUDITORY,PITCH1,PITCH2,LOUDNESS
K,20,12,13,7,13,0.72,0.54,0.28,5.42,0.76,0.96,0.94,0.32,0.27,0.3,0.86,0.94,0.94,-8.25,-7.5,-2.75,-17,-11.25,-38.25,-133.6,-133.6,-70.975,-41.75,-29.225,-215,-112.5,-5.75,-6.5,-75
K,20,15,16,10,10,0.62,0.61,0.33,4.42,0.82,0.76,0.8,0.37,0.37,0.37,0.92,0.33,0.64,-6,-3,-0.75,-18.5,-17.25,-37.5,-242.15,-141.95,-91.85,-75.15,-62.625,-185,-90,-9.25,-10,-0.15
K,22,11,14,9,9,0.72,0.57,0.31,5.08,0.84,0.8,0.94,0.42,0.38,0.27,1,0.69,1,-8.5,-8.25,-3,-18.5,-16.5,-38.25,-133.6,-58.45,-83.5,-50.1,-108.55,-57.5,-30,-10.25,-17.5,-0.0375
K,25,15,11,11,10,0.82,0.73,0.5,4.67,0.8,0.6,0.7,0.55,0.6,0.62,0.72,0.82,0.9,-8,-4.25,-2.25,-17,-21,-43.5,-183.7,-233.8,-75.15,-75.15,-58.45,-125,-135,-10.25,-32.25,-0.0875
K,20,11,11,5,11,0.77,0.54,0.17,7.5,0.8,0.78,0.74,0.32,0.33,0.38,0.93,0.83,0.83,-6.5,-2.75,-3,-15.5,-7.5,-43.5,-167,-275.55,-75.15,-66.8,-54.275,-95,-82.5,-5.5,-4,-0.1375
K,22,9,12,9,7,0.48,0.58,0.06,5.42,0.94,0.92,0.84,0.35,0.42,0.38,0.57,0.73,0.31,-9.5,-5.5,-3.25,-15.5,-10.5,-32.25,-217.1,-283.9,-62.625,-41.75,-41.75,-207.5,-120,-2.25,-5.25,-25
K,20,11,10,7,9,0.72,0.5,-0.01,5.83,0.88,0.78,0.82,0.37,0.27,0.27,0.7,0.08,0.7,-7.25,-6,-4.25,-22.25,-18,-22.5,-233.8,-175.35,-125.25,-133.6,-75.15,-177.5,-195,-12.5,-28.5,-0.2
K,22,12,13,7,11,0.89,0.42,-0.09,4.17,0.8,0.92,0.88,0.27,0.27,0.27,0.9,0.8,0.75,-13.75,-9.25,-6.75,-14,-21.75,-42,-283.9,-91.85,-96.025,-79.325,-75.15,-117.5,-90,-20,-14,-0.1
K,19,8,13,9,5,0.72,0.56,0.3,4.83,0.8,0.78,0.76,0.32,0.38,0.35,0.62,0.89,0.8,-9.25,-4.5,-4.75,-20,-16.5,-51.75,-242.15,-225.45,-62.625,-137.775,-58.45,-170,-67.5,-15.25,-24.25,-0.0875
K,27,8,6,5,9,0.52,0.4,-0.03,3.83,0.94,0.82,0.76,0.2,0.45,0.33,0.7,0.79,0.91,-9,-9.5,-2.75,-24.5,-16.5,-43.5,-150.3,-116.9,-75.15,-79.325,-41.75,-425,-157.5,-13.6666667,-23.75,-125
K,23,14,15,7,8,0.71,0.57,0.29,5.92,0.84,0.78,0.94,0.33,0.35,0.35,0.94,0.94,1,-6.5,-7.75,-4.5,-20,-9.75,-24,-167,-50.1,-112.725,-45.925,-25.05,-117.5,-240,-1.25,-0.75,-0.0875
K,28,12,11,5,6,0.6,0.32,0.22,5.83,0.94,0.92,1,0.17,0.17,0.18,0.82,0.83,0.68,-8.25,-0.75,-6,-21.5,-12,-49.5,-66.8,-308.95,-108.55,-50.1,-50.1,-185,-105,-11.75,-10.25,-0.1125
K,24,12,14,9,14,0.84,0.66,0.37,6,0.8,0.76,0.82,0.18,0.17,0.17,1,0.91,1,-10,-1.5,-5.25,-18.5,-7.5,-28.5,-150.3,-200.4,-129.425,-75.15,-75.15,-170,-75,-5.75,-11.5,-0.0625
K,19,13,14,14,13,0.9,0.69,0.43,8.75,0.88,0.82,0.88,0.27,0.18,0.18,0.94,0.78,0.67,-9.25,-2.75,-5,-22.25,-11.25,-34.5,-125.25,-66.8,-79.325,-52.8833333,-20.875,-80,-75,-2,-2.25,-0.05
M,20,16,15,16,16,0.84,0.91,0.72,8.83,0.96,0.88,0.84,0.3,0.25,0.35,0.93,0.93,0.95,-4,-6.5,-1.25,-6.5,-8.25,-12.75,-175.35,-100.2,-33.4,-45.925,-37.575,-155,-82.5,-4.5,-6.75,-0.0625
K,32,12,10,8,9.83333333,0.72,0.5,0.46,7.25,0.88,0.82,0.86,0.28,0.23,0.22,0.93,0.44,0.28,-8.75,-6.5,-2.25,-10.25,-16.5,-28.5,-183.7,-183.7,-75.15,-62.625,-58.45,-147.5,-120,-9,-9.5,-0.0625
K,21,10,12,7,7,0.67,0.6,0.06,3.83,0.72,0.72,0.7,0.32,0.32,0.32,0.63,0.38,0.5,-9,-7.25,-3,-20,-21,-36.75,-192.05,-133.6,-146.125,-75.15,-54.275,-282.5,-150,-17.25,-22.75,-0.0875
K,20,11,15,10,5,0.64,0.54,0.27,4.83,0.8,0.76,0.74,0.33,0.35,0.3,0.88,0.83,1,-5.25,-6.5,-4,-13.25,-11.25,-37.5,-325.65,-233.8,-91.85,-50.1,-75.15,-350,-127.5,-15,-18.25,-0.05
K,22,10,14,7,6,0.66,0.49,0.16,3.83,0.92,0.84,0.94,0.4,0.37,0.35,0.92,0.83,0.93,-9.5,-4.25,-4.5,-20.75,-14.25,-31.5,-167,-192.05,-83.5,-108.55,-83.5,-35,-97.5,-15.75,-10,-0.05
K,22,14,15,9,8,0.84,0.51,-0.11,4.74,0.9,0.82,0.72,0.3,0.38,0.33,0.65,0.53,0.4,-6.25,-4.25,-7,-6.5,-18,-31.5,-183.7,-192.05,-108.55,-91.85,-58.45,-230,-187.5,-8,-10.5,-25
K,21,8,13,8,13,0.47,0.37,0.3,4.92,0.78,0.68,0.66,0.3,0.37,0.3,0.93,0.54,0.4,-5.25,-3,-4,-14.75,-21,-27.75,-183.7,-125.25,-91.85,-83.5,-75.15,-117.5,-210,-12.25,-17.75,-0.1
M,32,14,15,9,12,0.67,0.62,0.01,5.42,0.88,0.84,0.82,0.3,0.3,0.32,0.71,0.73,0.67,-9.25,-3.5,-5.25,-9.5,-15,-38.25,-116.9,-139.166667,-75.15,-62.625,-79.325,-110,-157.5,-8.5,-9.5,-0.1375
K,20,9,12,8,5,0.5,0.4,0.16,4.24,0.94,0.98,0.9,0.25,0.2,0.22,0.25,0.62,0.12,-10.5,-2.25,-2.75,-22.25,-21,-43.5,-275.55,-233.8,-112.725,-100.2,-87.675,-327.5,-142.5,-27,-16.25,-0.0875
