SEX,AGE,RAMP,ANALOGIES,NUMBER_SERIES,PATTER_COMPL,CSPAN,SSPAN,MENTAL_COUNTERS,CHANGE_DETECTION,TASK_ENG1,TASK_ENG2,TASK_ENG3,STAI1,STAI2,STAI3,clock1,clock2,clock3,FD_LENGTH,FD_ORIENT,FD_BRIGHT,FM_SIZE,FM_ORIENT,FM_BRIGHT,DD_FILLED_VISUAL,DD_EMPTY_VISUAL,IT_CIRCLES,IT_LINES,IT_SQUAR,DD_EMPTY_AUDITORY,DD_FILLED_AUDITORY,PITCH1,PITCH2,LOUDNESS
K,23,11,11,3,13,0.91,0.41,0.31,5.75,0.8,0.74,0.74,0.33,0.33,0.35,0.8,0.17,0.86,-7.5,-1.75,-1.75,-8.75,-6.75,-38.25,-116.9,-217.1,-41.75,-50.1,-33.4,-207.5,-127.5,-4.5,-9.5,-0.1125
K,23,13,16,6,14,0.81,0.69,0.4,4.5,0.94,0.74,0.86,0.4,0.28,0.27,1,1,1,-4.75,-2.5,-4.5,-12.5,-4.5,-26.25,-200.4,-192.05,-87.675,-58.45,-62.625,-95,-90,-6,-16,-0.0375
K,23,13,9,8,13,0.92,0.57,0.29,5,0.96,0.96,0.98,0.23,0.23,0.25,0.73,0.93,0.77,-10,-6.25,-5.25,-9.5,-7.5,-21.75,-116.9,-192.05,-75.15,-45.925,-104.375,-237.5,-105,-7.25,-18.6666667,-75
K,23,11,14,9,11,0.94,0.54,0.14,7.92,0.76,0.74,0.78,0.3,0.3,0.28,1,0.9,0.58,-11,-3.75,-4,-18.5,-11.25,-34.5,-192.05,-217.1,-54.275,-83.5,-58.45,-155,-52.5,-12,-11.75,-0.0625
K,23,9,11,2,9,0.74,0.5,0.49,5.58,0.6,0.6,0.68,0.43,0.45,0.45,0.94,0.82,0.77,-5.25,-4.5,-2.75,-12.5,-6.75,-51,-225.45,-125.25,-66.8,-54.275,-70.2791667,-170,-127.5,-9.75,-21.5,-0.0875
K,20,11,13,9,11,0.9,0.44,0.28,5.25,0.9,0.9,0.9,0.27,0.23,0.18,0.88,0.95,0.82,-5,-3.75,-2.75,-17.75,-11.25,-41.25,-158.65,-83.5,-96.025,-70.975,-96.025,-117.5,-67.5,-1.75,-3.5,-0.1
K,19,14,15,12,8,0.43,0.41,0.37,5.25,0.78,0.68,0.7,0.42,0.4,0.35,0.73,0.25,0.44,-7.5,-2.25,-1.25,-17,-13.5,-31.5,-125.25,-158.65,-79.325,-37.575,-33.4,-35,-90,-3.5,-8.5,-0.0875
K,20,16,15,10.8333333,12.1666667,0.81,0.73,0.61,7.42,0.66,0.86,0.96,0.33,0.43,0.4,0.94,1,1,-10.75,-3.5,-3,-5.75,-9,-45.75,-108.55,-225.45,-41.75,-66.8,-58.45,-162.5,-60,-5.75,-4.75,-0.15
K,28,15,13,9,6,0.51,0.56,0.17,4,0.76,0.68,0.76,0.42,0.38,0.4,0.8,0.85,1,-9.25,-4.75,-4,-21.5,-22.5,-42.75,-242.15,-175.35,-112.725,-41.75,-37.575,-260,-225,-11.5,-16,-0.2
M,20,6,11,5,8,0.18,0.46,0.17,3.88,0.68,0.62,0.58,0.43,0.43,0.4,0.47,0.44,0.69,-11.75,-8.25,-7.25,-20,-20.25,-34.5,-359.05,-283.9,-137.775,-45.925,-75.15,-155,-127.5,-21.5,-31,-0.0875
K,19,11,7,6,6,0.67,0.31,0.24,5.92,0.58,0.48,0.6,0.5,0.52,0.43,0.56,0.5,0.56,-7.66666667,-6.5,-5,-17,-23.25,-39,-317.3,-283.9,-75.15,-70.975,-66.8,-245,-150,-16,-13.75,-75
K,22,14,18,7,12,0.76,0.62,0.19,4.33,0.9,0.7,0.86,0.25,0.23,0.33,0.93,0.9,0.82,-6.75,-5.75,-4.25,-9.5,-11.25,-22.5,-116.9,-133.6,-125.25,-70.975,-79.325,-95,-90,-6.5,-13,-25
K,22,16,16,13,15,0.71,0.82,0.44,5.83,0.82,0.66,0.7,0.35,0.32,0.43,0.8,0.9,1,-7.5,-3.75,-3.75,-15.5,-9.75,-51,-250.5,-200.4,-108.55,-66.8,-50.1,-155,-52.5,-8.5,-9.25,-0.1125
K,22,15,17,14,15,0.92,0.62,0.36,3.92,0.86,0.9,0.86,0.23,0.22,0.25,1,0.93,1,-7.75,-4.5,-3.5,-15.5,-6,-42,-250.5,-250.5,-108.55,-75.15,-66.8,-215,-75,-4.5,-6.5,-0.1375
M,21,11,11,4,13,0.7,0.59,0.36,5.5,1,1,1,0.17,0.17,0.17,0.71,0.94,0.92,-7,-4.25,-3,-7.25,-12,-42.75,-141.95,-155.866667,-83.5,-41.75,-58.45,-207.5,-97.5,-9.25,-7.25,-0.0875
M,25,7,11,8,2,0.49,0.42,-0.2,3.83,0.86,0.82,0.8,0.32,0.22,0.2,0.21,0.3,0.37,-11.5,-5.75,-5,-16.25,-16.5,-33.75,-317.3,-208.75,-100.2,-50.1,-22.2666667,-147.5,-82.5,-11,-15.5,-125
M,24,14,17,12,12,0.89,0.72,0.41,8.75,0.94,0.94,0.6,0.27,0.23,0.33,1,0.95,0.92,-5.5,-2.75,-4.25,-15.5,-6.75,-36.75,-192.05,-141.95,-54.275,-25.05,-33.4,-117.5,-97.5,-10,-14.5,-0.0875
,18,13,11,3,11,0.53,0.5,0.19,4.5,0.86,0.76,0.88,0.5,0.52,0.37,0.94,0.95,0.83,-7.75,-3.5,-1.75,-13.25,-10.5,-42,-167,-50.1,-75.15,-41.75,-70.975,-117.5,-135,-8,-3.5,-0.0625
K,21,10,10,5,9,0.48,0.5,0.25,5.25,0.86,0.94,0.94,0.18,0.17,0.17,0.91,0.67,0.75,-8,-3.5,-4.75,-12.5,-18,-52.5,-233.8,-125.25,-79.325,-96.025,-66.8,-185,-120,-6,-2.75,-75
K,30,12,11,3,11,0.7,0.53,0.13,6.08,1,0.88,0.98,0.17,0.25,0.17,0.55,0.36,0.4,-10.25,-5.5,-2.5,-11.75,-11.25,-36.75,-242.15,-183.7,-116.9,-75.15,-20.875,-177.5,-37.5,-8.5,-14,-75
M,20,14,12,12,7,0.87,0.78,0.06,5.5,0.86,0.96,0.96,0.23,0.23,0.17,1,0.86,1,-8,-4,-5.75,-14,-14.25,-30,-66.8,-100.2,-79.325,-83.5,-75.15,-132.5,-67.5,-2.5,-3.25,-25
K,23,11,14,2,13,0.91,0.69,0.3,5.33,0.76,0.78,0.78,0.35,0.35,0.35,0.77,0.65,0.67,-6.5,-4.25,-3.75,-26,-22.5,-31.5,-150.3,-283.9,-75.15,-45.925,-41.75,-170,-202.5,-7.75,-12.875,-0.05
K,22,14,16,13,17,0.81,0.68,0.36,6.42,0.82,0.82,0.82,0.2,0.23,0.23,1,1,1,-4.75,-2.75,-4.25,-27.5,-7.5,-20.25,-75.15,-100.2,-83.5,-29.225,-44.5333333,-162.5,-45,-7,-8.25,-0.0625
K,19,13,16,10,11,0.74,0.61,0.34,9.33,0.78,0.74,0.66,0.38,0.38,0.37,1,0.64,0.73,-9.5,-4,-3,-11,-9.75,-28.5,-116.9,-167,-41.75,-70.975,-45.925,-177.5,-52.5,-14,-14.5,-75
